name, url, method, active, country, type
atlascollectables, https://www.atlascollectables.com/products/multi_search, add_to_cart, yes, Canada, Primary
topdeckhero, https://www.topdeckhero.com/products/multi_search, other, yes, Canada, Primary
tome2boutique, https://tome2boutique.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Primary
levalet, https://levalet.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Primary
comichunter, https://comichunter.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Primary
gamekeeperonline, https://www.gamekeeperonline.com/products/multi_search, other, yes, Canada, Primary
lesecretdeskorrigans, https://lesecretdeskorrigans.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Primary
godsarena, https://godsarena.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Primary
jeux3dragons, https://jeux3dragons.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Primary
cartamagica, https://cartamagica.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Primary
houseofcards, https://houseofcards.ca/pages/deck-builder, newDeckbuilder, yes, Canada, Primary
fusiongamingonline,https://www.fusiongamingonline.com/products/multi_search, add_to_cart, yes, Canada, Primary
kanatacg, https://kanatacg.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Primary
acgamesonline, https://acgamesonline.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Primary
collect-edition,	https://collect-edition.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Primary
expeditionjeux, https://www.expeditionjeux.com/products/multi_search, other, yes, Canada, Primary
magiccave, https://magiccave.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Primary
orchardcitygames, https://orchardcitygames.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Primary
jjcards, https://jjcards.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Primary
dragontcg, https://dragontcg.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Primary
firstplayer, https://firstplayer.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Extended
mtgnorth, https://mtgnorth.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Extended
jittedivision, https://jittedivision.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Extended
gamersden, https://gamersden.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Extended
gauntletgamesvictoria, https://gauntletgamesvictoria.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Extended
sequencecomics, https://sequencecomics.crystalcommerce.com/products/multi_search, add_to_cart, yes, Canada, Extended
tradingpost, https://tradingpost.roundtabletavern.com/products/multi_search, add_to_cart, yes, Canada, Extended
mtg.collect-edition,	https://mtg.collect-edition.com/products/multi_search, add_to_cart, yes, Canada, Extended
obsidiangames, https://obsidiangames.ca/pages/mtg-deck-builder, other, yes, Canada, Extended
mozmagic, https://www.mozmagic.com/products/multi_search, add_to_cart, yes, Canada, Extended
a2ztcg, https://a2ztcg.crystalcommerce.com/products/multi_search, add_to_cart, No, USA, Extended
thebeardeddragongames, https://thebeardeddragongames.crystalcommerce.com/products/multi_search , add_to_cart, No, USA, Extended
brainstormgamespdx, https://brainstormgamespdx.crystalcommerce.com/products/multi_search, add_to_cart, No, USA, Extended
thetoytrove, https://www.thetoytrove.com/products/multi_search, add_to_cart, No, USA, NotWorking
noblecards, https://www.noblecards.ca/products/multi_search, add_to_cart, No, Canada, NoInventory
cbagames, https://www.cbagames.com/products/multi_search, add_to_cart, No, Canada, NoInventory
bruteforcemtg, https://www.bruteforcemtg.com/products/multi_search, add_to_cart, No, Canada, NotWorking
everythinggames, https://www.everythinggames.ca/pages/copy-of-faq, newDeckbuilder, No, Canada, NoInventory
